,dg_id,player_name,12_mo_long_game,12_mo_short_game,#_of_rounds,tour
284,15330,"Griffin, Lanto",0.24140183368388718,-0.4842932403749232,78.0,pga
288,15466,"Cantlay, Patrick",0.5790522640592792,0.39908777913191995,73.0,pga
289,15470,"Hossler, Beau",-0.32193901320762536,0.8055274238807465,91.0,pga
290,15473,"Long, Adam",-1.1508781183019101,-0.01359823473255066,56.0,pga
291,15475,"Pan, C.T.",0.14232571777972527,0.3152055469240958,67.0,pga
293,15556,"Hughes, Mackenzie",-0.2890031044972871,1.2316335249313795,99.0,pga
294,15575,"Hoge, Tom",0.907975626327119,-0.14113443729883843,101.0,pga
298,15634,"Trainer, Martin",-1.282036191028581,-0.20367354200738821,63.0,pga
301,15720,"Roach, Wes",-0.21439562527340136,-0.7373638152961166,40.0,pga
303,15852,"Kraft, Kelly",-0.05424754939426877,-0.33007695527993,46.0,pga
305,15980,"Lipsky, David",-0.29392336240634576,-0.31966782396844595,73.0,pga
306,16039,"Haley II, Paul",-0.8577059666128165,-0.20535923824777916,83.0,pga
310,16283,"Rodgers, Patrick",-0.04326791364922995,0.337278217593318,96.0,pga
311,16333,"Hubbard, Mark",0.3112319846999928,-0.045723109876686846,109.0,pga
313,16382,"Knous, Jim",-1.1663994385206695,0.1811615561111915,55.0,pga
314,16394,"Jaeger, Stephan",0.3249468031136894,0.08344750654315089,95.0,pga
315,16395,"Kohles, Ben",0.2266331982616777,-0.5412323669013783,87.0,pga
317,16433,"NeSmith, Matt",-0.11015263387106171,-0.37537203105826716,79.0,pga
320,16566,"Barjon, Paul",-0.4285827618888178,-0.8832904430318888,26.0,pga
321,16602,"Varner III, Harold",0.5100531625587262,0.2318605977490928,65.0,pga
325,16713,"Lindheim, Nicholas",-0.4722616535665858,-0.702167725553817,42.0,pga
326,16715,"Ryder, Sam",-0.10616169843751026,-0.3771466377570248,84.0,pga
327,16757,"Dou, Zecheng",-0.2753009084327938,-0.5333186755734407,45.0,pga
328,16796,"Nunez, Augusto",-0.4282433447186865,-0.6091956421705551,78.0,pga
329,16841,"Lee, Min Woo",0.3784264162304909,0.260117223255663,86.0,pga
334,17032,"Tosti, Alejandro",-0.17914186092271198,-0.6085832840157277,74.0,pga
335,17064,"Herbert, Lucas",-0.2969687324250935,0.5930249073299712,72.0,pga
336,17068,"Daffue, MJ",-0.3329443038391805,-1.0994510926919447,41.0,pga
338,17266,"Yuan, Carl",-0.12279308700342287,-0.7191100237264147,77.0,pga
342,17365,"Mitchell, Keith",1.1242174075915627,-0.3695609668775109,92.0,pga
343,17381,"Silverman, Ben",0.009544692706319496,0.4598816446326359,85.0,pga
345,17488,"Im, Sungjae",0.5926541157414743,0.48199693968102175,95.0,pga
346,17508,"Gribble, Cody",-0.2241049028131966,-0.45933360819958774,68.0,pga
